material_id,reason
mp-633688,API did not return this material
mp-761650,API did not return this material
mp-31808,API did not return this material
mp-540352,API did not return this material
mp-772343,API did not return this material
mp-769707,API did not return this material
mp-773411,API did not return this material
mp-849977,API did not return this material
mp-781076,API did not return this material
mp-31793,API did not return this material
mp-32041,API did not return this material
mp-772365,API did not return this material
mp-566057,API did not return this material
mp-850079,API did not return this material
mp-743928,API did not return this material
mp-767302,API did not return this material
mp-763957,API did not return this material
mp-770215,API did not return this material
mp-769727,API did not return this material
mp-781501,API did not return this material
mp-763868,API did not return this material
mp-761478,API did not return this material
mp-850137,API did not return this material
mp-780890,API did not return this material
mp-680653,API did not return this material
mp-780753,API did not return this material
mp-771413,API did not return this material
mp-767357,API did not return this material
mp-771812,API did not return this material
mp-780214,API did not return this material
mp-768009,API did not return this material
mp-540286,API did not return this material
mp-775684,API did not return this material
mp-779807,API did not return this material
mp-764229,API did not return this material
mp-767932,API did not return this material
mp-772387,API did not return this material
mp-764640,API did not return this material
mp-562012,API did not return this material
mp-541670,API did not return this material
mp-763843,API did not return this material
mp-540065,API did not return this material
mp-764042,API did not return this material
mp-32012,API did not return this material
mp-765074,API did not return this material
mp-764190,API did not return this material
mp-764567,API did not return this material
mp-25473,API did not return this material
mp-867676,API did not return this material
mp-773457,API did not return this material
mp-744579,API did not return this material
mp-765658,API did not return this material
mp-553998,API did not return this material
mp-775357,API did not return this material
mp-764324,API did not return this material
mp-767855,API did not return this material
mp-568287,API did not return this material
mp-977355,API did not return this material
mp-763518,API did not return this material
mp-565705,API did not return this material
mp-771077,API did not return this material
mp-761814,API did not return this material
mp-32087,API did not return this material
mp-764692,API did not return this material
mp-764627,API did not return this material
mp-567090,API did not return this material
mp-744192,API did not return this material
mp-542478,API did not return this material
mp-868320,API did not return this material
mp-771807,API did not return this material
mp-540474,API did not return this material
mp-762639,API did not return this material
mp-12784,API did not return this material
mp-19595,API did not return this material
mp-763110,API did not return this material
mp-763307,API did not return this material
mp-770024,API did not return this material
mp-767924,API did not return this material
mp-774123,API did not return this material
mp-765073,API did not return this material
mp-775082,API did not return this material
mp-558578,API did not return this material
mp-768026,API did not return this material
mp-568633,API did not return this material
mp-761806,API did not return this material
mp-542267,API did not return this material
mp-770913,API did not return this material
mp-25725,API did not return this material
mp-778573,API did not return this material
mp-767793,API did not return this material
mp-762935,API did not return this material
mp-771623,API did not return this material
mp-770094,API did not return this material
mp-771455,API did not return this material
mp-849688,API did not return this material
mp-24921,API did not return this material
mp-769811,API did not return this material
mp-762598,API did not return this material
mp-779172,API did not return this material
mp-773577,API did not return this material
mp-10998,API did not return this material
mp-778916,API did not return this material
mp-850469,API did not return this material
mp-762908,API did not return this material
mp-25694,API did not return this material
mp-769890,API did not return this material
mp-31958,API did not return this material
mp-770178,API did not return this material
mp-762841,API did not return this material
mp-561479,API did not return this material
mp-743618,API did not return this material
mp-763483,API did not return this material
mp-764330,API did not return this material
mp-25041,API did not return this material
mp-779246,API did not return this material
mp-761384,API did not return this material
mp-777713,API did not return this material
mp-675650,API did not return this material
mp-774289,API did not return this material
mp-763089,API did not return this material
mp-705785,API did not return this material
mp-767452,API did not return this material
