structure_id,material_id,formation_energy_per_atom
0,mp-754118,-2.228844654444445
1,mp-978908,-0.9015221441666679
2,mp-3799,-3.2934082158333324
3,mp-12487,-1.2834591277203053
4,mp-541594,-0.7760661538636365
5,mp-775132,-2.746263725284483
6,mp-9712,-2.495422235476191
7,mp-754249,-2.3586030343859647
8,mp-758115,-2.5515421121626978
9,mp-755009,-3.8598293318181813
10,mp-569482,-0.6535412824999997
11,mp-32736,-2.0982415550208344
12,mp-8675,-0.09422804375000293
13,mp-980063,0.043644894999999906
14,mp-755364,-2.7170261749479145
15,mp-19113,-1.4002619573333326
16,mp-753497,-1.5190405165476182
17,mp-772777,-2.609685090876373
18,mp-558875,-2.1784547487037034
19,mp-561117,-1.3213937337500004
20,mp-849412,-2.7353253783333344
21,mp-2387,-0.16844641499999588
22,mp-772260,-2.806436942654322
23,mp-541044,-2.934489389913794
24,mp-568944,-0.773776867499997
25,mp-557769,-1.9568740418749997
26,mp-866076,-0.6502951806249975
27,mp-999072,-0.014344134166667466
28,mp-571420,-0.654173206938775
29,mp-30055,-1.3936056024999988
30,mp-569945,-0.19873144991228067
31,mp-28435,-1.6327487432916665
32,mp-977189,-0.4824770112500012
33,mp-974981,0.177609358125
34,mp-15257,-2.153581606572918
35,mp-29796,-2.1693735086458337
36,mp-1019110,-0.5543445366666658
37,mp-23339,-0.9990614762758618
38,mp-21001,-0.6461375420000024
39,mp-766236,-3.9713494802499993
40,mp-975198,-0.005344626875005698
41,mp-866056,-1.3225631381249983
42,mp-5477,-2.228964725172415
43,mp-41732,-3.0675481676666676
44,mp-675028,-1.6238103435833264
45,mp-560768,-3.1020036003752542
46,mp-734019,-1.531324562523511
47,mp-3075,-0.6405965739583341
48,mp-34144,-3.3600145314285714
49,mp-10114,-0.5856188020833342
50,mp-2908,-3.0210726285714293
51,mp-771075,-2.0321092503065135
52,mp-4341,-0.7277952545518209
53,mp-29579,-2.3032615625000004
54,mp-21248,-0.8592984466666659
55,mp-20799,-0.4469025109999961
56,mp-642646,-1.7479177072077923
57,mp-753472,-3.1886113308333335
58,mp-23275,-2.0435932645833326
59,mp-651268,-0.5453603755882338
60,mp-505216,-2.5492147572727273
61,mp-6219,-0.23252047207031268
62,mp-779364,-2.165084871354167
63,mp-1018041,-0.05116542781609201
64,mp-5380,-1.7705577220408146
65,mp-24034,-0.302516447875
66,mp-961653,-0.30446201666666656
67,mp-555447,-3.094573522745849
68,mp-12355,-3.586965255233333
69,mp-642831,-2.181571264955357
70,mp-23084,-1.557137906
71,mp-540946,-2.3129027943055576
72,mp-581990,-0.12048148374999812
73,mp-569396,-0.4210184652380953
74,mp-7090,-0.5565706387931044
75,mp-862431,-0.37469696291666743
76,mp-7223,-1.2842973102499997
77,mp-8989,-2.3382018585036946
78,mp-567600,-0.45913238599999884
79,mp-4034,-1.3705237164192718
80,mp-12480,-1.240844728214282
81,mp-505296,-0.5534546709999987
82,mp-566333,-1.9403558788129975
83,mp-28030,-2.6278196602192976
84,mp-779362,-2.417686388577586
85,mp-12466,-0.45365477393749953
86,mp-776520,-2.957641276156555
87,mp-16794,-0.6073584458333351
88,mp-570393,-0.295905144715278
89,mp-864993,-0.6830198629166683
90,mp-9272,-0.6917015276388933
91,mp-553962,-1.4722196597916666
92,mp-2808,-0.8013510275000009
93,mp-560381,-2.8725930005357148
94,mp-758520,-2.1518156750680264
95,mp-20714,-0.15600379999999822
96,mp-34611,0.039595513611111834
97,mp-17864,-2.9340917418799752
98,mp-676023,-4.082558194384236
99,mp-26702,-2.523788800958995
100,mp-32495,-2.6900287270604397
101,mp-773039,-3.0179365837654326
102,mp-1007862,0.0427643600000005
103,mp-37680,-1.9134489911979173
104,mp-6625,-2.3030940822916666
105,mp-975897,-0.8845438987500032
106,mp-18411,-1.060587030167026
107,mp-761841,-2.530958892475198
108,mp-684504,-2.5125235918214286
109,mp-31138,-0.22893815823275698
110,mp-556088,-3.165723067083333
111,mp-771161,-2.593847818928571
112,mp-29955,-0.37037914209822276
113,mp-9807,-2.574390435391666
114,mp-13816,-3.6034720430689653
115,mp-556806,-3.0019836170689658
116,mp-773605,-2.378766318991858
117,mp-644409,-2.7356468488029098
118,mp-531820,-3.2621987245061725
119,mp-5326,-0.784516142999999
120,mp-4415,-0.5962811130000063
121,mp-3585,-1.0555137370000012
122,mp-1008866,-0.7450613493486582
123,mp-979961,-0.48437973062500106
124,mp-849371,-1.8073645794999997
125,mp-753676,-3.2279547003333326
126,mp-11549,-0.26956944333333394
127,mp-32544,-2.591554100882353
128,mp-646450,-0.4775323405555554
129,mp-1069,-0.5586353450000013
130,mp-15895,-0.5306095941807586
131,mp-778593,-1.8129775997619058
132,mp-753360,-2.174334087500002
133,mp-559227,-0.9216986414285709
134,mp-675989,-0.456963439960937
135,mp-861948,-0.2292658204166642
136,mp-723064,-2.548817583157894
137,mp-973068,-1.837501564
138,mp-562977,-2.269225859038462
139,mp-557915,-3.1133783004960307
140,mp-15905,-1.0320729885227267
141,mp-557285,-2.4800746994956135
142,mp-31278,-0.5452760590000025
143,mp-10125,-0.25843901374999945
144,mp-10530,-0.7621017859999994
145,mp-11040,-0.5441532641666657
